deploy_ts,pod_name,workload_type,scheduler
1779110357.307615120,fusion-workload-103,fusion,dqn-scheduler
1779110362.613513851,fusion-workload-104,fusion,dqn-scheduler
1779110367.831865454,fusion-workload-105,fusion,dqn-scheduler
1779110373.082754007,fusion-workload-106,fusion,dqn-scheduler
1779110378.304538066,fusion-workload-107,fusion,dqn-scheduler
1779110383.535603643,fusion-workload-108,fusion,dqn-scheduler
1779110388.763932994,fusion-workload-109,fusion,dqn-scheduler
1779110393.980847369,fusion-workload-110,fusion,dqn-scheduler
1779110399.221114218,fusion-workload-111,fusion,dqn-scheduler
1779110404.440364188,fusion-workload-112,fusion,dqn-scheduler
1779110409.666590730,fusion-workload-113,fusion,dqn-scheduler
1779110414.907432546,fusion-workload-114,fusion,dqn-scheduler
1779110420.127729808,fusion-workload-115,fusion,dqn-scheduler
1779110425.383910211,fusion-workload-116,fusion,dqn-scheduler
1779110430.609486228,fusion-workload-117,fusion,dqn-scheduler
1779110435.828879905,fusion-workload-118,fusion,dqn-scheduler
1779110441.060360566,fusion-workload-119,fusion,dqn-scheduler
1779110446.297857441,fusion-workload-120,fusion,dqn-scheduler
1779110451.552520058,fusion-workload-121,fusion,dqn-scheduler
1779110456.786220559,fusion-workload-122,fusion,dqn-scheduler
1779110462.004304522,fusion-workload-123,fusion,dqn-scheduler
1779110467.225467699,fusion-workload-124,fusion,dqn-scheduler
1779110472.456991117,fusion-workload-125,fusion,dqn-scheduler
1779110477.669577867,fusion-workload-126,fusion,dqn-scheduler
1779110482.888917445,fusion-workload-127,fusion,dqn-scheduler
1779110488.121675909,fusion-workload-128,fusion,dqn-scheduler
1779110493.351644279,fusion-workload-129,fusion,dqn-scheduler
1779110498.603122024,fusion-workload-130,fusion,dqn-scheduler
1779110503.851019437,fusion-workload-131,fusion,dqn-scheduler
1779110509.072883117,fusion-workload-132,fusion,dqn-scheduler
1779110514.307533931,fusion-workload-133,fusion,dqn-scheduler
1779110519.538409864,fusion-workload-134,fusion,dqn-scheduler
1779110524.786143049,fusion-workload-135,fusion,dqn-scheduler
1779110530.030134554,fusion-workload-136,fusion,dqn-scheduler
1779110535.271962440,fusion-workload-137,fusion,dqn-scheduler
1779110540.512772395,fusion-workload-138,fusion,dqn-scheduler
1779110545.775898734,fusion-workload-139,fusion,dqn-scheduler
1779110551.016494324,fusion-workload-140,fusion,dqn-scheduler
1779110556.271287977,fusion-workload-141,fusion,dqn-scheduler
1779110561.543895893,fusion-workload-142,fusion,dqn-scheduler
1779110566.797290792,fusion-workload-143,fusion,dqn-scheduler
1779110572.059144845,fusion-workload-144,fusion,dqn-scheduler
1779110577.292962971,fusion-workload-145,fusion,dqn-scheduler
1779110582.569472114,fusion-workload-146,fusion,dqn-scheduler
1779110587.825716599,fusion-workload-147,fusion,dqn-scheduler
1779110593.053218211,fusion-workload-148,fusion,dqn-scheduler
1779110598.288780007,fusion-workload-149,fusion,dqn-scheduler
1779110603.520667523,fusion-workload-150,fusion,dqn-scheduler
1779110608.748590826,fusion-workload-151,fusion,dqn-scheduler
1779110614.012972319,fusion-workload-152,fusion,dqn-scheduler
1779110619.291652923,fusion-workload-153,fusion,dqn-scheduler
1779110624.516159355,fusion-workload-154,fusion,dqn-scheduler
1779110629.732128123,fusion-workload-155,fusion,dqn-scheduler
1779110634.949023338,fusion-workload-156,fusion,dqn-scheduler
1779110640.198394735,fusion-workload-157,fusion,dqn-scheduler
1779110645.421334098,fusion-workload-158,fusion,dqn-scheduler
1779110650.676344939,fusion-workload-159,fusion,dqn-scheduler
1779110655.914452425,fusion-workload-160,fusion,dqn-scheduler
1779110661.146311074,fusion-workload-161,fusion,dqn-scheduler
1779110666.392907641,fusion-workload-162,fusion,dqn-scheduler
1779110671.633490567,fusion-workload-163,fusion,dqn-scheduler
1779110676.905117974,fusion-workload-164,fusion,dqn-scheduler
1779110682.154037891,fusion-workload-165,fusion,dqn-scheduler
1779110687.397931043,fusion-workload-166,fusion,dqn-scheduler
1779110692.656158684,fusion-workload-167,fusion,dqn-scheduler
1779110697.927256087,fusion-workload-168,fusion,dqn-scheduler
1779110703.177933969,fusion-workload-169,fusion,dqn-scheduler
1779110708.417725474,fusion-workload-170,fusion,dqn-scheduler
1779110713.637649598,fusion-workload-171,fusion,dqn-scheduler
1779110718.890879680,fusion-workload-172,fusion,dqn-scheduler
1779110724.124900095,fusion-workload-173,fusion,dqn-scheduler
1779110729.361486066,fusion-workload-174,fusion,dqn-scheduler
1779110734.609548815,fusion-workload-175,fusion,dqn-scheduler
1779110739.852519850,fusion-workload-176,fusion,dqn-scheduler
1779110745.118273644,fusion-workload-177,fusion,dqn-scheduler
1779110750.373931885,fusion-workload-178,fusion,dqn-scheduler
1779110755.617614722,fusion-workload-179,fusion,dqn-scheduler
1779110760.871649206,fusion-workload-180,fusion,dqn-scheduler
1779110766.118755286,fusion-workload-181,fusion,dqn-scheduler
1779110771.395666842,fusion-workload-182,fusion,dqn-scheduler
1779110776.640032018,fusion-workload-183,fusion,dqn-scheduler
