deploy_ts,pod_name,workload_type,scheduler
1778559475.335627405,fusion-workload-1,fusion,dqn-scheduler
1778559495.583809398,fusion-workload-2,fusion,dqn-scheduler
1778559515.809580643,fusion-workload-3,fusion,dqn-scheduler
1778559536.053919090,fusion-workload-4,fusion,dqn-scheduler
1778559556.279755604,fusion-workload-5,fusion,dqn-scheduler
1778559576.512559871,fusion-workload-6,fusion,dqn-scheduler
1778559596.728611327,fusion-workload-7,fusion,dqn-scheduler
1778559616.994454135,fusion-workload-8,fusion,dqn-scheduler
1778559637.216488223,fusion-workload-9,fusion,dqn-scheduler
1778559657.455400610,fusion-workload-10,fusion,dqn-scheduler
1778559677.674149707,fusion-workload-11,fusion,dqn-scheduler
1778559697.935360007,fusion-workload-12,fusion,dqn-scheduler
1778559718.159481576,fusion-workload-13,fusion,dqn-scheduler
1778559738.398868091,fusion-workload-14,fusion,dqn-scheduler
1778559758.620779666,fusion-workload-15,fusion,dqn-scheduler
1778559778.857686982,fusion-workload-16,fusion,dqn-scheduler
1778559799.073677719,fusion-workload-17,fusion,dqn-scheduler
1778559819.301445648,fusion-workload-18,fusion,dqn-scheduler
1778559839.529432980,fusion-workload-19,fusion,dqn-scheduler
1778559859.746833055,fusion-workload-20,fusion,dqn-scheduler
1778559879.973605378,fusion-workload-21,fusion,dqn-scheduler
1778559900.218020602,fusion-workload-22,fusion,dqn-scheduler
1778559920.451742911,fusion-workload-23,fusion,dqn-scheduler
1778559940.687033525,fusion-workload-24,fusion,dqn-scheduler
1778559960.908913115,fusion-workload-25,fusion,dqn-scheduler
1778559981.152026281,fusion-workload-26,fusion,dqn-scheduler
1778560001.388964085,fusion-workload-27,fusion,dqn-scheduler
1778560021.634013513,fusion-workload-28,fusion,dqn-scheduler
1778560041.859130376,fusion-workload-29,fusion,dqn-scheduler
1778560062.099546145,fusion-workload-30,fusion,dqn-scheduler
1778560082.324207025,fusion-workload-31,fusion,dqn-scheduler
1778560102.558350149,fusion-workload-32,fusion,dqn-scheduler
1778560122.793942969,fusion-workload-33,fusion,dqn-scheduler
1778560143.034698688,fusion-workload-34,fusion,dqn-scheduler
1778560163.286201357,fusion-workload-35,fusion,dqn-scheduler
1778560183.525712257,fusion-workload-36,fusion,dqn-scheduler
1778560203.754822680,fusion-workload-37,fusion,dqn-scheduler
1778560224.011969120,fusion-workload-38,fusion,dqn-scheduler
1778560244.222363984,fusion-workload-39,fusion,dqn-scheduler
1778560264.450019928,fusion-workload-40,fusion,dqn-scheduler
1778560284.667047017,fusion-workload-41,fusion,dqn-scheduler
1778560304.890210250,fusion-workload-42,fusion,dqn-scheduler
1778560325.136527422,fusion-workload-43,fusion,dqn-scheduler
1778560345.380394562,fusion-workload-44,fusion,dqn-scheduler
1778560365.609198271,fusion-workload-45,fusion,dqn-scheduler
1778560385.826398394,fusion-workload-46,fusion,dqn-scheduler
1778560406.069950532,fusion-workload-47,fusion,dqn-scheduler
1778560426.299601999,fusion-workload-48,fusion,dqn-scheduler
1778560446.528984982,fusion-workload-49,fusion,dqn-scheduler
1778560466.738964175,fusion-workload-50,fusion,dqn-scheduler
1778560486.977514196,fusion-workload-51,fusion,dqn-scheduler
1778560507.200902286,fusion-workload-52,fusion,dqn-scheduler
1778560527.411432939,fusion-workload-53,fusion,dqn-scheduler
1778560547.646461572,fusion-workload-54,fusion,dqn-scheduler
1778560567.870223111,fusion-workload-55,fusion,dqn-scheduler
1778560588.095709142,fusion-workload-56,fusion,dqn-scheduler
1778560608.317266836,fusion-workload-57,fusion,dqn-scheduler
1778560628.550770142,fusion-workload-58,fusion,dqn-scheduler
1778560648.756196756,fusion-workload-59,fusion,dqn-scheduler
1778560668.988345945,fusion-workload-60,fusion,dqn-scheduler
1778560689.218507873,fusion-workload-61,fusion,dqn-scheduler
1778560709.444724395,fusion-workload-62,fusion,dqn-scheduler
1778560729.678040642,fusion-workload-63,fusion,dqn-scheduler
1778560749.909794463,fusion-workload-64,fusion,dqn-scheduler
1778560770.153704644,fusion-workload-65,fusion,dqn-scheduler
1778560790.376588140,fusion-workload-66,fusion,dqn-scheduler
1778560810.590589898,fusion-workload-67,fusion,dqn-scheduler
1778560830.822811926,fusion-workload-68,fusion,dqn-scheduler
1778560851.101959836,fusion-workload-69,fusion,dqn-scheduler
1778560871.333177959,fusion-workload-70,fusion,dqn-scheduler
1778560891.564773491,fusion-workload-71,fusion,dqn-scheduler
1778560911.829005643,fusion-workload-72,fusion,dqn-scheduler
1778560932.064732827,fusion-workload-73,fusion,dqn-scheduler
1778560952.304124359,fusion-workload-74,fusion,dqn-scheduler
1778560972.529718061,fusion-workload-75,fusion,dqn-scheduler
1778560992.770205379,fusion-workload-76,fusion,dqn-scheduler
1778561012.992829427,fusion-workload-77,fusion,dqn-scheduler
1778561033.223773784,fusion-workload-78,fusion,dqn-scheduler
1778561053.454615876,fusion-workload-79,fusion,dqn-scheduler
1778561073.682888380,fusion-workload-80,fusion,dqn-scheduler
1778561093.933570990,fusion-workload-81,fusion,dqn-scheduler
1778561114.173411746,fusion-workload-82,fusion,dqn-scheduler
1778561134.424639835,fusion-workload-83,fusion,dqn-scheduler
1778561154.667693131,fusion-workload-84,fusion,dqn-scheduler
1778561174.894044972,fusion-workload-85,fusion,dqn-scheduler
1778561195.111454383,fusion-workload-86,fusion,dqn-scheduler
1778561215.441723500,fusion-workload-87,fusion,dqn-scheduler
1778561235.667705681,fusion-workload-88,fusion,dqn-scheduler
1778561255.891792175,fusion-workload-89,fusion,dqn-scheduler
1778561276.142916749,fusion-workload-90,fusion,dqn-scheduler
1778561296.371750503,fusion-workload-91,fusion,dqn-scheduler
1778561316.607397962,fusion-workload-92,fusion,dqn-scheduler
1778561336.823770139,fusion-workload-93,fusion,dqn-scheduler
1778561357.061804446,fusion-workload-94,fusion,dqn-scheduler
1778561377.286462676,fusion-workload-95,fusion,dqn-scheduler
1778561397.533760091,fusion-workload-96,fusion,dqn-scheduler
1778561417.770055901,fusion-workload-97,fusion,dqn-scheduler
1778561438.024057980,fusion-workload-98,fusion,dqn-scheduler
1778561458.243499184,fusion-workload-99,fusion,dqn-scheduler
1778561478.479181901,fusion-workload-100,fusion,dqn-scheduler
