deploy_ts,pod_name,workload_type,scheduler
1778556983.566436053,fusion-workload-1,fusion,dqn-scheduler
1778557003.814172724,fusion-workload-2,fusion,dqn-scheduler
1778557024.051550841,fusion-workload-3,fusion,dqn-scheduler
1778557044.301463644,fusion-workload-4,fusion,dqn-scheduler
1778557064.531377832,fusion-workload-5,fusion,dqn-scheduler
1778557084.761067703,fusion-workload-6,fusion,dqn-scheduler
1778557104.981932028,fusion-workload-7,fusion,dqn-scheduler
1778557125.293307636,fusion-workload-8,fusion,dqn-scheduler
1778557145.517251094,fusion-workload-9,fusion,dqn-scheduler
1778557165.765752416,fusion-workload-10,fusion,dqn-scheduler
1778557185.991782628,fusion-workload-11,fusion,dqn-scheduler
1778557206.219418395,fusion-workload-12,fusion,dqn-scheduler
1778557226.448763433,fusion-workload-13,fusion,dqn-scheduler
1778557246.694018946,fusion-workload-14,fusion,dqn-scheduler
1778557266.914626781,fusion-workload-15,fusion,dqn-scheduler
1778557287.150665292,fusion-workload-16,fusion,dqn-scheduler
1778557307.366453526,fusion-workload-17,fusion,dqn-scheduler
1778557327.597266392,fusion-workload-18,fusion,dqn-scheduler
1778557347.830375572,fusion-workload-19,fusion,dqn-scheduler
1778557368.065079010,fusion-workload-20,fusion,dqn-scheduler
1778557388.291451609,fusion-workload-21,fusion,dqn-scheduler
1778557408.525528278,fusion-workload-22,fusion,dqn-scheduler
1778557428.749056314,fusion-workload-23,fusion,dqn-scheduler
1778557448.971825724,fusion-workload-24,fusion,dqn-scheduler
1778557469.215179480,fusion-workload-25,fusion,dqn-scheduler
1778557489.471084215,fusion-workload-26,fusion,dqn-scheduler
1778557509.692857934,fusion-workload-27,fusion,dqn-scheduler
1778557529.928163513,fusion-workload-28,fusion,dqn-scheduler
1778557550.161769099,fusion-workload-29,fusion,dqn-scheduler
1778557570.393738936,fusion-workload-30,fusion,dqn-scheduler
1778557590.604969662,fusion-workload-31,fusion,dqn-scheduler
1778557610.840028850,fusion-workload-32,fusion,dqn-scheduler
1778557631.067332498,fusion-workload-33,fusion,dqn-scheduler
1778557651.291766283,fusion-workload-34,fusion,dqn-scheduler
1778557671.518275246,fusion-workload-35,fusion,dqn-scheduler
1778557691.742065715,fusion-workload-36,fusion,dqn-scheduler
1778557711.970542030,fusion-workload-37,fusion,dqn-scheduler
1778557732.204395707,fusion-workload-38,fusion,dqn-scheduler
1778557752.424047938,fusion-workload-39,fusion,dqn-scheduler
1778557772.661263924,fusion-workload-40,fusion,dqn-scheduler
1778557792.910379839,fusion-workload-41,fusion,dqn-scheduler
1778557813.142496656,fusion-workload-42,fusion,dqn-scheduler
1778557833.378644268,fusion-workload-43,fusion,dqn-scheduler
1778557853.610950424,fusion-workload-44,fusion,dqn-scheduler
1778557873.840849843,fusion-workload-45,fusion,dqn-scheduler
1778557894.098172223,fusion-workload-46,fusion,dqn-scheduler
1778557914.339765672,fusion-workload-47,fusion,dqn-scheduler
1778557934.576430292,fusion-workload-48,fusion,dqn-scheduler
1778557954.822625140,fusion-workload-49,fusion,dqn-scheduler
1778557975.108749489,fusion-workload-50,fusion,dqn-scheduler
1778557995.343738229,fusion-workload-51,fusion,dqn-scheduler
1778558015.574859788,fusion-workload-52,fusion,dqn-scheduler
1778558035.806238273,fusion-workload-53,fusion,dqn-scheduler
1778558056.039264325,fusion-workload-54,fusion,dqn-scheduler
1778558076.271425956,fusion-workload-55,fusion,dqn-scheduler
1778558096.511873149,fusion-workload-56,fusion,dqn-scheduler
1778558116.751874516,fusion-workload-57,fusion,dqn-scheduler
1778558137.001409884,fusion-workload-58,fusion,dqn-scheduler
1778558157.248810000,fusion-workload-59,fusion,dqn-scheduler
1778558177.471440327,fusion-workload-60,fusion,dqn-scheduler
1778558197.701172513,fusion-workload-61,fusion,dqn-scheduler
1778558217.923039273,fusion-workload-62,fusion,dqn-scheduler
1778558238.142403229,fusion-workload-63,fusion,dqn-scheduler
1778558258.377336138,fusion-workload-64,fusion,dqn-scheduler
1778558278.598730252,fusion-workload-65,fusion,dqn-scheduler
1778558298.820105669,fusion-workload-66,fusion,dqn-scheduler
1778558319.050500324,fusion-workload-67,fusion,dqn-scheduler
1778558339.277219788,fusion-workload-68,fusion,dqn-scheduler
1778558359.548847016,fusion-workload-69,fusion,dqn-scheduler
1778558379.798865368,fusion-workload-70,fusion,dqn-scheduler
1778558400.031643398,fusion-workload-71,fusion,dqn-scheduler
1778558420.272816167,fusion-workload-72,fusion,dqn-scheduler
1778558440.508208724,fusion-workload-73,fusion,dqn-scheduler
1778558460.735953672,fusion-workload-74,fusion,dqn-scheduler
1778558480.978163412,fusion-workload-75,fusion,dqn-scheduler
1778558501.207189132,fusion-workload-76,fusion,dqn-scheduler
1778558521.457921312,fusion-workload-77,fusion,dqn-scheduler
1778558541.696566430,fusion-workload-78,fusion,dqn-scheduler
1778558561.929292883,fusion-workload-79,fusion,dqn-scheduler
1778558582.158459253,fusion-workload-80,fusion,dqn-scheduler
1778558602.389793867,fusion-workload-81,fusion,dqn-scheduler
1778558622.621360111,fusion-workload-82,fusion,dqn-scheduler
1778558642.845241868,fusion-workload-83,fusion,dqn-scheduler
1778558663.081980867,fusion-workload-84,fusion,dqn-scheduler
1778558683.306463450,fusion-workload-85,fusion,dqn-scheduler
1778558703.536130182,fusion-workload-86,fusion,dqn-scheduler
1778558723.790152511,fusion-workload-87,fusion,dqn-scheduler
1778558744.031980707,fusion-workload-88,fusion,dqn-scheduler
1778558764.258400326,fusion-workload-89,fusion,dqn-scheduler
1778558784.480509816,fusion-workload-90,fusion,dqn-scheduler
1778558804.692824711,fusion-workload-91,fusion,dqn-scheduler
1778558824.922278603,fusion-workload-92,fusion,dqn-scheduler
1778558845.154392114,fusion-workload-93,fusion,dqn-scheduler
1778558865.391154215,fusion-workload-94,fusion,dqn-scheduler
1778558885.626425618,fusion-workload-95,fusion,dqn-scheduler
1778558905.857190716,fusion-workload-96,fusion,dqn-scheduler
1778558926.096402227,fusion-workload-97,fusion,dqn-scheduler
1778558946.331761628,fusion-workload-98,fusion,dqn-scheduler
1778558966.566965480,fusion-workload-99,fusion,dqn-scheduler
1778558986.790335235,fusion-workload-100,fusion,dqn-scheduler
